"","Codigo_IBGE","Sigla_Estado","cidade","longitude","latitude","Data","Total_Exames","Total_positivos","Indice_Positividade"
"1","1100023","RO","Ariquemes",-63.0325,-9.90571,2020-03-10,68,17,25
"2","1100049","RO","Cacoal",-61.4562,-11.4343,2020-03-10,150,18,12
"3","1100122","RO","Ji-Paraná",-61.9322,-10.8777,2020-03-10,215,27,12.5581395348837
"4","1100155","RO","Ouro Preto do Oeste",-62.2565,-10.7167,2020-03-10,105,15,14.2857142857143
"5","1100189","RO","Pimenta Bueno",-61.198,-11.672,2020-03-10,9,1,11.1111111111111
"6","1100205","RO","Porto Velho",-63.8999,-8.76077,2020-03-10,2638,1177,44.6171341925701
"7","1100288","RO","Rolim de Moura",-61.7714,-11.7271,2020-03-10,57,1,1.75438596491228
"8","1100304","RO","Vilhena",-60.1488,-12.7502,2020-03-10,131,27,20.6106870229008
"9","1302603","AM","Manaus",-60.0212,-3.11866,2020-03-10,2717,1252,46.0802355539198
"10","1400100","RR","Boa Vista",-60.6753,2.82384,2020-03-10,930,431,46.3440860215054
"11","1400308","RR","Mucajaí",-60.9096,2.43998,2020-03-10,296,164,55.4054054054054
"12","1500800","PA","Ananindeua",-48.3743,-1.36391,2020-03-10,219,130,59.3607305936073
"13","1501303","PA","Barcarena",-48.6195,-1.51187,2020-03-10,14,1,7.14285714285714
"14","1501402","PA","Belém",-48.4898,-1.4554,2020-03-10,6165,3310,53.6901865369019
"15","1502152","PA","Canaã dos Carajás",-49.8776,-6.49659,2020-03-10,246,178,72.3577235772358
"16","1503606","PA","Itaituba",-55.9926,-4.2667,2020-03-10,1,0,0
"17","1504208","PA","Marabá",-49.1327,-5.38075,2020-03-10,9,4,44.4444444444444
"18","1505304","PA","Oriximiná",-55.8579,-1.75989,2020-03-10,4,0,0
"19","1505536","PA","Parauapebas",-49.9037,-6.06781,2020-03-10,1279,855,66.8491008600469
"20","1506807","PA","Santarém",-54.6996,-2.43849,2020-03-10,12,1,8.33333333333333
"21","1508084","PA","Tucumã",-51.1626,-6.74687,2020-03-10,112,70,62.5
"22","1508100","PA","Tucuruí",-49.6773,-3.7657,2020-03-10,18,6,33.3333333333333
"23","1600303","AP","Macapá",-51.0694,0.034934,2020-03-10,244,75,30.7377049180328
"24","1600600","AP","Santana",-51.1729,-0.045434,2020-03-10,26,6,23.0769230769231
"25","1702109","TO","Araguaína",-48.2044,-7.19238,2020-03-10,18,2,11.1111111111111
"26","1709500","TO","Gurupi",-49.068,-11.7279,2020-03-10,8,0,0
"27","1721000","TO","Palmas",-48.3558,-10.24,2020-03-10,171,21,12.280701754386
"28","2100055","MA","Açailândia",-47.5004,-4.94714,2020-03-10,94,47,50
"29","2101202","MA","Bacabal",-44.7832,-4.22447,2020-03-10,3,1,33.3333333333333
"30","2105302","MA","Imperatriz",-47.4777,-5.51847,2020-03-10,68,31,45.5882352941176
"31","2111300","MA","São Luís",-44.2825,-2.53874,2020-03-10,3254,1807,55.5316533497234
"32","2208007","PI","Picos",-41.467,-7.07721,2020-03-10,28,1,3.57142857142857
"33","2211001","PI","Teresina",-42.8034,-5.09194,2020-03-10,2867,996,34.7401464945937
"34","2301109","CE","Aracati",-37.7679,-4.55826,2020-03-10,3,2,66.6666666666667
"35","2304103","CE","Crateús",-40.6536,-5.16768,2020-03-10,7,2,28.5714285714286
"36","2304400","CE","Fortaleza",-38.5423,-3.71664,2020-03-10,3970,1990,50.1259445843829
"37","2305506","CE","Iguatu",-39.2892,-6.36281,2020-03-10,4,1,25
"38","2306405","CE","Itapipoca",-39.5836,-3.49933,2020-03-10,57,13,22.8070175438596
"39","2307304","CE","Juazeiro do Norte",-39.3076,-7.19621,2020-03-10,63,19,30.1587301587302
"40","2307601","CE","Limoeiro do Norte",-38.0847,-5.14392,2020-03-10,56,18,32.1428571428571
"41","2312908","CE","Sobral",-40.3482,-3.68913,2020-03-10,151,60,39.7350993377483
"42","2313401","CE","Tianguá",-40.9923,-3.72965,2020-03-10,35,12,34.2857142857143
"43","2408003","RN","Mossoró",-37.3474,-5.18374,2020-03-10,252,101,40.0793650793651
"44","2408102","RN","Natal",-35.1986,-5.79357,2020-03-10,234,86,36.7521367521368
"45","2503209","PB","Cabedelo",-34.8284,-6.98731,2020-03-10,1,1,100
"46","2503704","PB","Cajazeiras",-38.5577,-6.88004,2020-03-10,21,0,0
"47","2504009","PB","Campina Grande",-35.8731,-7.22196,2020-03-10,619,295,47.6575121163166
"48","2507507","PB","João Pessoa",-34.8641,-7.11509,2020-03-10,1774,727,40.9808342728298
"49","2510808","PB","Patos",-37.2747,-7.01743,2020-03-10,102,25,24.5098039215686
"50","2600104","PE","Afogados da Ingazeira",-37.631,-7.74312,2020-03-10,1,0,0
"51","2602100","PE","Bom Conselho",-36.6857,-9.16919,2020-03-10,4,2,50
"52","2604007","PE","Carpina",-35.2514,-7.84566,2020-03-10,1,1,100
"53","2604106","PE","Caruaru",-35.9699,-8.28455,2020-03-10,794,333,41.9395465994962
"54","2606002","PE","Garanhuns",-36.4966,-8.88243,2020-03-10,160,47,29.375
"55","2606200","PE","Goiana",-34.9959,-7.5606,2020-03-10,184,99,53.804347826087
"56","2606606","PE","Ibimirim",-37.7032,-8.54026,2020-03-10,1,0,0
"57","2609600","PE","Olinda",-34.8545,-8.01017,2020-03-10,272,149,54.7794117647059
"58","2610905","PE","Pesqueira",-36.6978,-8.35797,2020-03-10,13,1,7.69230769230769
"59","2611101","PE","Petrolina",-40.5027,-9.38866,2020-03-10,67,10,14.9253731343284
"60","2611606","PE","Recife",-34.8771,-8.04666,2020-03-10,2693,1669,61.9754920163386
"61","2612208","PE","Salgueiro",-39.1247,-8.07373,2020-03-10,2,0,0
"62","2613701","PE","São Lourenço da Mata",-35.0124,-8.00684,2020-03-10,1,1,100
"63","2614501","PE","Surubim",-35.7481,-7.84746,2020-03-10,1,0,0
"64","2616407","PE","Vitória de Santo Antão",-35.2976,-8.12819,2020-03-10,18,8,44.4444444444444
"65","2700300","AL","Arapiraca",-36.6615,-9.75487,2020-03-10,2,1,50
"66","2704302","AL","Maceió",-35.735,-9.66599,2020-03-10,918,465,50.6535947712418
"67","2706307","AL","Palmeira dos Índios",-36.6328,-9.40568,2020-03-10,9,4,44.4444444444444
"68","2800308","SE","Aracaju",-37.0677,-10.9091,2020-03-10,465,98,21.0752688172043
"69","2802908","SE","Itabaiana",-37.4273,-10.6826,2020-03-10,6,4,66.6666666666667
"70","2803500","SE","Lagarto",-37.6689,-10.9136,2020-03-10,1,0,0
"71","2804409","SE","Neópolis",-36.585,-10.3215,2020-03-10,1,0,0
"72","2900702","BA","Alagoinhas",-38.4208,-12.1335,2020-03-10,321,73,22.7414330218069
"73","2903904","BA","Bom Jesus da Lapa",-43.4108,-13.2506,2020-03-10,6,0,0
"74","2904100","BA","Boquira",-42.7324,-12.8205,2020-03-10,2,0,0
"75","2905701","BA","Camaçari",-38.3263,-12.6996,2020-03-10,82,46,56.0975609756098
"76","2907806","BA","Cícero Dantas",-38.3794,-10.5897,2020-03-10,1,0,0
"77","2910727","BA","Eunápolis",-39.5821,-16.3715,2020-03-10,135,67,49.6296296296296
"78","2910800","BA","Feira de Santana",-38.9663,-12.2664,2020-03-10,1195,444,37.1548117154812
